book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
nOPuDwAAQBAJ,python,Introduction to Scientific Programming with Python,N/A,Joakim Sundnes,"This open access book offers an initial introduction to programming for scientific and computational applications using the Python programming language. The presentation style is compact and example-based, making it suitable for students and researchers with little or no prior experience in programming. The book uses relevant examples from mathematics and the natural sciences to present programming as a practical toolbox that can quickly enable readers to write their own programs for data processing and mathematical modeling. These tools include file reading, plotting, simple text analysis, and using NumPy for numerical computations, which are fundamental building blocks of all programs in data science and computational science. At the same time, readers are introduced to the fundamental concepts of programming, including variables, functions, loops, classes, and object-oriented programming. Accordingly, the book provides a sound basis for further computer science and programming studies.",ISBN_13,False,True,157,Computer programming,en,http://books.google.com/books/content?id=nOPuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2020,N/A
uVvDCwAAQBAJ,python,The Practice of Computing Using Python,N/A,"William F. Punch,Richard Enbody","This is the eBook of the printed book and may not include any media, website access codes, or print supplements that may come packaged with the bound book. For courses in Python Programming Introduces Python programming with an emphasis on problem-solving Now in its Third Edition, Practice of Computing Using Python continues to effectively introduce readers to computational thinking using Python, with a strong emphasis on problem solving through computer science. The authors have chosen Python for its simplicity, powerful built-in data structures, advanced control constructs, and practicality. The text is built from the ground up for Python programming, rather than having been translated from Java or C++. Focusing on data manipulation and analysis as a theme, the text allows readers to work on real problems using Internet-sourced or self-generated data sets that represent their own work and interests. The authors also emphasize program development and provide readers of all backgrounds with a practical foundation in programming that suit their needs. Among other changes, the Third Edition incorporates a switch to the Anaconda distribution, the SPYDER IDE, and a focus on debugging and GUIs. Also available with MyProgrammingLab™ MyProgrammingLab is an online learning system designed to engage students and improve results. MyProgrammingLab consists of a set of programming exercises correlated to specific Pearson CS1/Intro to Programming textbooks. Through practice exercises and immediate, personalized feedback, MyProgrammingLab improves the programming competence of beginning students who often struggle with the basic concepts of programming languages. Note: You are purchasing a standalone product; MyLab™ & Mastering™ does not come packaged with this content. Students, if interested in purchasing this title with MyLab & Mastering, ask your instructor for the correct package ISBN and Course ID. Instructors, contact your Pearson representative for more information. If you would like to purchase boththe physical text and MyLab & Mastering, search for: 0134520513 / 9780134520513 The Practice of Computing Using Python plus MyProgrammingLab with Pearson eText -- Access Card Package, 3/e Package consists of: 0134381327 / 9780134381329 MyProgrammingLab with Pearson eText -- Access Card Package 0134379764 / 9780134379760 The Practice of Computing Using Python, 3/e",ISBN_13,False,False,913,Computers,en,http://books.google.com/books/content?id=uVvDCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2016-02-18,Pearson
pz9VDwAAQBAJ,python,Coding Games in Python,N/A,DK,"A visual step-by-step guide to writing code in Python. Beginners and experienced programmers can use Python to build and play computer games, from mind-bending brainteasers to crazy action games with explosive sound effects and 3-D graphics. Each chapter in Coding Games in Python shows how to construct a complete working game in simple numbered steps. The book teaches how to use freely available resources, such as PyGame Zero and Blender, to add animations, music, scrolling backgrounds, 3-D scenery, and other pieces of professional wizardry to games. After building a game, instructions show how to adapt it using secret hacks and cheat codes. Instructions are illustrated with zany Minecraft-style pixel art. Master the key concepts that programmers need to write code--not just in Python, but in all programming languages. Find out what bugs, loops, flags, strings, tuples, toggles, and turtles are. Learn how to plan and design the ultimate game--and then play it to destruction as you test and debug it. With coding theory interwoven into the instructions for building each game, learning coding is made effortless and fun.",ISBN_13,True,False,0,Juvenile Nonfiction,en,http://books.google.com/books/content?id=pz9VDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,5.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2018-07-03,Penguin
HTozEAAAQBAJ,python,IronPython in Action,N/A,"Christian J. Muirhead,Michael Foord","In 2005, Microsoft quietly announced an initiative to bring dynamic languages to the .NET platform. The starting point for this project was a .NET implementation of Python, dubbed IronPython. After a couple years of incubation, IronPython is ready for real-world use. It blends the simplicity, elegance, and dynamism of Python with the power of the .NET framework. IronPython in Action offers a comprehensive, hands-on introduction to Microsoft's exciting new approach for programming the .NET framework. It approaches IronPython as a first class .NET language, fully integrated with the .NET environment, Visual Studio, and even the open-source Mono implementation. You'll learn how IronPython can be embedded as a ready-made scripting language into C# and VB.NET programs, used for writing full applications or for web development with ASP. Even better, you'll see how IronPython works in Silverlight for client-side web programming. IronPython opens up exciting new possibilities. Because it's a dynamic language, it permits programming paradigms not easily available in VB and C#. In this book, authors Michael Foord and Christian Muirhead explore the world of functional programming, live introspection, dynamic typing and duck typing , metaprogramming, and more. IronPython in Action explores these topics with examples, making use of the Python interactive console to explore the .NET framework with live objects. The expert authors provide a complete introduction for programmers to both the Python language and the power of the .NET framework. The book also shows how to extend IronPython with C#, extending C# and VB.NET applications with Python, using IronPython with .NET 3.0 and Powershell, IronPython as a Windows scripting tool, and much more. Purchase of the print book comes with an offer of a free PDF, ePub, and Kindle eBook from Manning. Also available is all code from the book.",ISBN_13,True,False,887,Computers,en,http://books.google.com/books/content?id=HTozEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,34.99,USD,34.99,USD,https://play.google.com/store/books/details?id=HTozEAAAQBAJ&rdid=book-HTozEAAAQBAJ&rdot=1&source=gbs_api,2009-03-01,Simon and Schuster
s0MQEAAAQBAJ,python,Mastering Reinforcement Learning with Python,"Build next-generation, self-learning models using reinforcement learning techniques and best practices",Enes Bilgin,"Get hands-on experience in creating state-of-the-art reinforcement learning agents using TensorFlow and RLlib to solve complex real-world business and industry problems with the help of expert tips and best practices Key FeaturesUnderstand how large-scale state-of-the-art RL algorithms and approaches workApply RL to solve complex problems in marketing, robotics, supply chain, finance, cybersecurity, and moreExplore tips and best practices from experts that will enable you to overcome real-world RL challengesBook Description Reinforcement learning (RL) is a field of artificial intelligence (AI) used for creating self-learning autonomous agents. Building on a strong theoretical foundation, this book takes a practical approach and uses examples inspired by real-world industry problems to teach you about state-of-the-art RL. Starting with bandit problems, Markov decision processes, and dynamic programming, the book provides an in-depth review of the classical RL techniques, such as Monte Carlo methods and temporal-difference learning. After that, you will learn about deep Q-learning, policy gradient algorithms, actor-critic methods, model-based methods, and multi-agent reinforcement learning. Then, you'll be introduced to some of the key approaches behind the most successful RL implementations, such as domain randomization and curiosity-driven learning. As you advance, you’ll explore many novel algorithms with advanced implementations using modern Python libraries such as TensorFlow and Ray’s RLlib package. You’ll also find out how to implement RL in areas such as robotics, supply chain management, marketing, finance, smart cities, and cybersecurity while assessing the trade-offs between different approaches and avoiding common pitfalls. By the end of this book, you’ll have mastered how to train and deploy your own RL agents for solving RL problems. What you will learnModel and solve complex sequential decision-making problems using RLDevelop a solid understanding of how state-of-the-art RL methods workUse Python and TensorFlow to code RL algorithms from scratchParallelize and scale up your RL implementations using Ray's RLlib packageGet in-depth knowledge of a wide variety of RL topicsUnderstand the trade-offs between different RL approachesDiscover and address the challenges of implementing RL in the real worldWho this book is for This book is for expert machine learning practitioners and researchers looking to focus on hands-on reinforcement learning with Python by implementing advanced deep reinforcement learning concepts in real-world projects. Reinforcement learning experts who want to advance their knowledge to tackle large-scale and complex sequential decision-making problems will also find this book useful. Working knowledge of Python programming and deep learning along with prior experience in reinforcement learning is required.",ISBN_13,True,True,544,Computers,en,http://books.google.com/books/content?id=s0MQEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,35.99,USD,22.39,USD,https://play.google.com/store/books/details?id=s0MQEAAAQBAJ&rdid=book-s0MQEAAAQBAJ&rdot=1&source=gbs_api,2020-12-18,Packt Publishing Ltd
yI5DEAAAQBAJ,python,Introduction to Python in Earth Science Data Analysis,From Descriptive Statistics to Machine Learning,Maurizio Petrelli,"This textbook introduces the use of Python programming for exploring and modelling data in the field of Earth Sciences. It drives the reader from his very first steps with Python, like setting up the environment and starting writing the first lines of codes, to proficient use in visualizing, analyzing, and modelling data in the field of Earth Science. Each chapter contains explicative examples of code, and each script is commented in detail. The book is minded for very beginners in Python programming, and it can be used in teaching courses at master or PhD levels. Also, Early careers and experienced researchers who would like to start learning Python programming for the solution of geological problems will benefit the reading of the book.",ISBN_13,True,True,229,Science,en,http://books.google.com/books/content?id=yI5DEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE_AND_RENTAL,True,64.99,USD,51.99,USD,https://play.google.com/store/books/details?id=yI5DEAAAQBAJ&rdid=book-yI5DEAAAQBAJ&rdot=1&source=gbs_api,2021-09-16,Springer Nature
b6L0AwAAQBAJ,python,Modeling Enterprise Architecture with TOGAF,A Practical Guide Using UML and BPMN,"Philippe Desfray,Gilbert Raymond","Modeling Enterprise Architecture with TOGAF explains everything you need to know to effectively model enterprise architecture with The Open Group Architecture Framework (TOGAF), the leading EA standard. This solution-focused reference presents key techniques and illustrative examples to help you model enterprise architecture. This book describes the TOGAF standard and its structure, from the architecture transformation method to governance, and presents enterprise architecture modeling practices with plenty of examples of TOGAF deliverables in the context of a case study. Although widespread and growing quickly, enterprise architecture is delicate to manage across all its dimensions. Focusing on the architecture transformation method, TOGAF provides a wide framework, which covers the repository, governance, and a set of recognized best practices. The examples featured in this book were realized using the open source Modelio tool, which includes extensions for TOGAF. - Includes intuitive summaries of the complex TOGAF standard to let you effectively model enterprise architecture - Uses practical examples to illustrate ways to adapt TOGAF to the needs of your enterprise - Provides model examples with Modelio, a free modeling tool, letting you exercise TOGAF modeling immediately using a dedicated tool - Combines existing modeling standards with TOGAF",ISBN_13,True,True,305,Computers,en,http://books.google.com/books/content?id=b6L0AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,49.95,USD,39.46,USD,https://play.google.com/store/books/details?id=b6L0AwAAQBAJ&rdid=book-b6L0AwAAQBAJ&rdot=1&source=gbs_api,2014-08-04,Morgan Kaufmann
a7tLEAAAQBAJ,python,Machine Learning for Time-Series with Python,"Forecast, predict, and detect anomalies with state-of-the-art machine learning methods",Ben Auffarth,"Get better insights from time-series data and become proficient in model performance analysis Key FeaturesExplore popular and modern machine learning methods including the latest online and deep learning algorithmsLearn to increase the accuracy of your predictions by matching the right model with the right problemMaster time series via real-world case studies on operations management, digital marketing, finance, and healthcareBook Description The Python time-series ecosystem is huge and often quite hard to get a good grasp on, especially for time-series since there are so many new libraries and new models. This book aims to deepen your understanding of time series by providing a comprehensive overview of popular Python time-series packages and help you build better predictive systems. Machine Learning for Time-Series with Python starts by re-introducing the basics of time series and then builds your understanding of traditional autoregressive models as well as modern non-parametric models. By observing practical examples and the theory behind them, you will become confident with loading time-series datasets from any source, deep learning models like recurrent neural networks and causal convolutional network models, and gradient boosting with feature engineering. This book will also guide you in matching the right model to the right problem by explaining the theory behind several useful models. You'll also have a look at real-world case studies covering weather, traffic, biking, and stock market data. By the end of this book, you should feel at home with effectively analyzing and applying machine learning methods to time-series. What you will learnUnderstand the main classes of time series and learn how to detect outliers and patternsChoose the right method to solve time-series problemsCharacterize seasonal and correlation patterns through autocorrelation and statistical techniquesGet to grips with time-series data visualizationUnderstand classical time-series models like ARMA and ARIMAImplement deep learning models, like Gaussian processes, transformers, and state-of-the-art machine learning modelsBecome familiar with many libraries like Prophet, XGboost, and TensorFlowWho this book is for This book is ideal for data analysts, data scientists, and Python developers who want instantly useful and practical recipes to implement today, and a comprehensive reference book for tomorrow. Basic knowledge of the Python Programming language is a must, while familiarity with statistics will help you get the most out of this book.",ISBN_13,True,True,371,Computers,en,http://books.google.com/books/content?id=a7tLEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,43.99,USD,31.72,USD,https://play.google.com/store/books/details?id=a7tLEAAAQBAJ&rdid=book-a7tLEAAAQBAJ&rdot=1&source=gbs_api,2021-10-29,Packt Publishing Ltd
MIxCjgEACAAJ,python,Mastering Python Scientific Computing,N/A,Hemant Kumar Mehta,"A complete guide for Python programmers to master scientific computing using Python APIs and toolsAbout This Book• The basics of scientific computing to advanced concepts involving parallel and large scale computation are all covered.• Most of the Python APIs and tools used in scientific computing are discussed in detail• The concepts are discussed with suitable example programsWho This Book Is ForIf you are a Python programmer and want to get your hands on scientific computing, this book is for you. The book expects you to have had exposure to various concepts of Python programming.What You Will Learn• Fundamentals and components of scientific computing• Scientific computing data management• Performing numerical computing using NumPy and SciPy• Concepts and programming for symbolic computing using SymPy• Using the plotting library matplotlib for data visualization• Data analysis and visualization using Pandas, matplotlib, and IPython• Performing parallel and high performance computing• Real-life case studies and best practices of scientific computingIn DetailIn today's world, along with theoretical and experimental work, scientific computing has become an important part of scientific disciplines. Numerical calculations, simulations and computer modeling in this day and age form the vast majority of both experimental and theoretical papers. In the scientific method, replication and reproducibility are two important contributing factors. A complete and concrete scientific result should be reproducible and replicable. Python is suitable for scientific computing. A large community of users, plenty of help and documentation, a large collection of scientific libraries and environments, great performance, and good support makes Python a great choice for scientific computing.At present Python is among the top choices for developing scientific workflow and the book targets existing Python developers to master this domain using Python. The main things to learn in the book are the concept of scientific workflow, managing scientific workflow data and performing computation on this data using Python.The book discusses NumPy, SciPy, SymPy, matplotlib, Pandas and IPython with several example programs.Style and approachThis book follows a hands-on approach to explain the complex concepts related to scientific computing. It details various APIs using appropriate examples.",ISBN_10,False,False,300,Computers,en,http://books.google.com/books/content?id=MIxCjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2015-09-23,N/A
5IvACQAAQBAJ,python,Derivatives Analytics with Python,"Data Analysis, Models, Simulation, Calibration and Hedging",Yves Hilpisch,"Supercharge options analytics and hedging using the power of Python Derivatives Analytics with Python shows you how to implement market-consistent valuation and hedging approaches using advanced financial models, efficient numerical techniques, and the powerful capabilities of the Python programming language. This unique guide offers detailed explanations of all theory, methods, and processes, giving you the background and tools necessary to value stock index options from a sound foundation. You'll find and use self-contained Python scripts and modules and learn how to apply Python to advanced data and derivatives analytics as you benefit from the 5,000+ lines of code that are provided to help you reproduce the results and graphics presented. Coverage includes market data analysis, risk-neutral valuation, Monte Carlo simulation, model calibration, valuation, and dynamic hedging, with models that exhibit stochastic volatility, jump components, stochastic short rates, and more. The companion website features all code and IPython Notebooks for immediate execution and automation. Python is gaining ground in the derivatives analytics space, allowing institutions to quickly and efficiently deliver portfolio, trading, and risk management results. This book is the finance professional's guide to exploiting Python's capabilities for efficient and performing derivatives analytics. Reproduce major stylized facts of equity and options markets yourself Apply Fourier transform techniques and advanced Monte Carlo pricing Calibrate advanced option pricing models to market data Integrate advanced models and numeric methods to dynamically hedge options Recent developments in the Python ecosystem enable analysts to implement analytics tasks as performing as with C or C++, but using only about one-tenth of the code or even less. Derivatives Analytics with Python — Data Analysis, Models, Simulation, Calibration and Hedging shows you what you need to know to supercharge your derivatives and risk analytics efforts.",ISBN_13,False,True,390,Business & Economics,en,http://books.google.com/books/content?id=5IvACQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2015-08-03,John Wiley & Sons
2f30DwAAQBAJ,python,Hands-On Explainable AI (XAI) with Python,"Interpret, visualize, explain, and integrate reliable AI for fair, secure, and trustworthy AI apps",Denis Rothman,"Resolve the black box models in your AI applications to make them fair, trustworthy, and secure. Familiarize yourself with the basic principles and tools to deploy Explainable AI (XAI) into your apps and reporting interfaces. Key FeaturesLearn explainable AI tools and techniques to process trustworthy AI resultsUnderstand how to detect, handle, and avoid common issues with AI ethics and biasIntegrate fair AI into popular apps and reporting tools to deliver business value using Python and associated toolsBook Description Effectively translating AI insights to business stakeholders requires careful planning, design, and visualization choices. Describing the problem, the model, and the relationships among variables and their findings are often subtle, surprising, and technically complex. Hands-On Explainable AI (XAI) with Python will see you work with specific hands-on machine learning Python projects that are strategically arranged to enhance your grasp on AI results analysis. You will be building models, interpreting results with visualizations, and integrating XAI reporting tools and different applications. You will build XAI solutions in Python, TensorFlow 2, Google Cloud’s XAI platform, Google Colaboratory, and other frameworks to open up the black box of machine learning models. The book will introduce you to several open-source XAI tools for Python that can be used throughout the machine learning project life cycle. You will learn how to explore machine learning model results, review key influencing variables and variable relationships, detect and handle bias and ethics issues, and integrate predictions using Python along with supporting the visualization of machine learning models into user explainable interfaces. By the end of this AI book, you will possess an in-depth understanding of the core concepts of XAI. What you will learnPlan for XAI through the different stages of the machine learning life cycleEstimate the strengths and weaknesses of popular open-source XAI applicationsExamine how to detect and handle bias issues in machine learning dataReview ethics considerations and tools to address common problems in machine learning dataShare XAI design and visualization best practicesIntegrate explainable AI results using Python modelsUse XAI toolkits for Python in machine learning life cycles to solve business problemsWho this book is for This book is not an introduction to Python programming or machine learning concepts. You must have some foundational knowledge and/or experience with machine learning libraries such as scikit-learn to make the most out of this book. Some of the potential readers of this book include: Professionals who already use Python for as data science, machine learning, research, and analysisData analysts and data scientists who want an introduction into explainable AI tools and techniquesAI Project managers who must face the contractual and legal obligations of AI Explainability for the acceptance phase of their applications",ISBN_13,True,True,455,Computers,en,http://books.google.com/books/content?id=2f30DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,38.99,USD,31.19,USD,https://play.google.com/store/books/details?id=2f30DwAAQBAJ&rdid=book-2f30DwAAQBAJ&rdot=1&source=gbs_api,2020-07-31,Packt Publishing Ltd
TIsRvwEACAAJ,python,Learning Python,N/A,Fabrizio Romano,Conditional programming -- A specialized else: elif -- The ternary operator -- Looping -- The for loop -- Iterating over a range -- Iterating over a sequence -- Iterators and iterables -- Iterating over multiple sequences -- The while loop -- The break and continue statements -- A special else clause -- Putting this all together -- Example 1 - a prime generator -- Example 2 - applying discounts -- A quick peek at the itertools module -- Infinite iterators -- Iterators terminating on the shortest input sequence -- Combinatoric generators -- Summary,OTHER,False,False,0,"N,/,A",en,N/A,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,1900,N/A
e9xlCwAAQBAJ,python,Python For ArcGIS,N/A,Laura Tateosian,"This book introduces Python scripting for geographic information science (GIS) workflow optimization using ArcGIS. It builds essential programming skills for automating GIS analysis. Over 200 sample Python scripts and 175 classroom-tested exercises reinforce the learning objectives. Readers will learn to: • Write and run Python in the ArcGIS Python Window, the PythonWin IDE, and the PyScripter IDE • Work with Python syntax and data types • Call ArcToolbox tools, batch process GIS datasets, and manipulate map documents using the arcpy package • Read and modify proprietary and ASCII text GIS data • Parse HTML web pages and KML datasets • Create Web pages and fetch GIS data from Web sources. • Build user-interfaces with the native Python file dialog toolkit or the ArcGIS Script tools and PyToolboxes Python for ArcGIS is designed as a primary textbook for advanced-level students in GIS. Researchers, government specialists and professionals working in GIS will also find this book useful as a reference.",ISBN_13,True,True,544,Science,en,http://books.google.com/books/content?id=e9xlCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE_AND_RENTAL,True,89.99,USD,70.19,USD,https://play.google.com/store/books/details?id=e9xlCwAAQBAJ&rdid=book-e9xlCwAAQBAJ&rdot=1&source=gbs_api,2016-01-16,Springer
6erYuQEACAAJ,python,Classic Computer Science Problems in Python,N/A,David Kopec,"""For intermediate Python programmers""--Back cover.",ISBN_10,False,False,224,Computers,en,http://books.google.com/books/content?id=6erYuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2019-03-15,Manning Publications
yRhKDwAAQBAJ,python,Pandas Cookbook,"Recipes for Scientific Computing, Time Series Analysis and Data Visualization using Python",Theodore Petrou,"Over 95 hands-on recipes to leverage the power of pandas for efficient scientific computation and data analysis About This Book Use the power of pandas to solve most complex scientific computing problems with ease Leverage fast, robust data structures in pandas to gain useful insights from your data Practical, easy to implement recipes for quick solutions to common problems in data using pandas Who This Book Is For This book is for data scientists, analysts and Python developers who wish to explore data analysis and scientific computing in a practical, hands-on manner. The recipes included in this book are suitable for both novice and advanced users, and contain helpful tips, tricks and caveats wherever necessary. Some understanding of pandas will be helpful, but not mandatory. What You Will Learn Master the fundamentals of pandas to quickly begin exploring any dataset Isolate any subset of data by properly selecting and querying the data Split data into independent groups before applying aggregations and transformations to each group Restructure data into tidy form to make data analysis and visualization easier Prepare real-world messy datasets for machine learning Combine and merge data from different sources through pandas SQL-like operations Utilize pandas unparalleled time series functionality Create beautiful and insightful visualizations through pandas direct hooks to Matplotlib and Seaborn In Detail This book will provide you with unique, idiomatic, and fun recipes for both fundamental and advanced data manipulation tasks with pandas. Some recipes focus on achieving a deeper understanding of basic principles, or comparing and contrasting two similar operations. Other recipes will dive deep into a particular dataset, uncovering new and unexpected insights along the way. The pandas library is massive, and it's common for frequent users to be unaware of many of its more impressive features. The official pandas documentation, while thorough, does not contain many useful examples of how to piece together multiple commands like one would do during an actual analysis. This book guides you, as if you were looking over the shoulder of an expert, through practical situations that you are highly likely to encounter. Many advanced recipes combine several different features across the pandas library to generate results. Style and approach The author relies on his vast experience teaching pandas in a professional setting to deliver very detailed explanations for each line of code in all of the recipes. All code and dataset explanations exist in Jupyter Notebooks, an excellent interface for exploring data.",ISBN_13,True,True,534,Computers,en,http://books.google.com/books/content?id=yRhKDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,43.99,USD,31.72,USD,https://play.google.com/store/books/details?id=yRhKDwAAQBAJ&rdid=book-yRhKDwAAQBAJ&rdot=1&source=gbs_api,2017-10-23,Packt Publishing Ltd
Au-_DwAAQBAJ,python,Natural Language Processing with Python and spaCy,A Practical Introduction,Yuli Vasiliev,"An introduction to natural language processing with Python using spaCy, a leading Python natural language processing library. Natural Language Processing with Python and spaCy will show you how to create NLP applications like chatbots, text-condensing scripts, and order-processing tools quickly and easily. You'll learn how to leverage the spaCy library to extract meaning from text intelligently; how to determine the relationships between words in a sentence (syntactic dependency parsing); identify nouns, verbs, and other parts of speech (part-of-speech tagging); and sort proper nouns into categories like people, organizations, and locations (named entity recognizing). You'll even learn how to transform statements into questions to keep a conversation going. You'll also learn how to: • Work with word vectors to mathematically find words with similar meanings (Chapter 5) • Identify patterns within data using spaCy's built-in displaCy visualizer (Chapter 7) • Automatically extract keywords from user input and store them in a relational database (Chapter 9) • Deploy a chatbot app to interact with users over the internet (Chapter 11) ""Try This"" sections in each chapter encourage you to practice what you've learned by expanding the book's example scripts to handle a wider range of inputs, add error handling, and build professional-quality applications. By the end of the book, you'll be creating your own NLP applications with Python and spaCy.",ISBN_13,True,False,217,Computers,en,http://books.google.com/books/content?id=Au-_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,26.99,USD,26.99,USD,https://play.google.com/store/books/details?id=Au-_DwAAQBAJ&rdid=book-Au-_DwAAQBAJ&rdot=1&source=gbs_api,2020-04-28,No Starch Press
NZP6AQAAQBAJ,python,Machine Learning,A Probabilistic Perspective,Kevin P. Murphy,"A comprehensive introduction to machine learning that uses probabilistic models and inference as a unifying approach. Today's Web-enabled deluge of electronic data calls for automated methods of data analysis. Machine learning provides these, developing methods that can automatically detect patterns in data and then use the uncovered patterns to predict future data. This textbook offers a comprehensive and self-contained introduction to the field of machine learning, based on a unified, probabilistic approach. The coverage combines breadth and depth, offering necessary background material on such topics as probability, optimization, and linear algebra as well as discussion of recent developments in the field, including conditional random fields, L1 regularization, and deep learning. The book is written in an informal, accessible style, complete with pseudo-code for the most important algorithms. All topics are copiously illustrated with color images and worked examples drawn from such application domains as biology, text processing, computer vision, and robotics. Rather than providing a cookbook of different heuristic methods, the book stresses a principled model-based approach, often using the language of graphical models to specify models in a concise and intuitive way. Almost all the models described have been implemented in a MATLAB software package—PMTK (probabilistic modeling toolkit)—that is freely available online. The book is suitable for upper-level undergraduates with an introductory-level college math background and beginning graduate students.",ISBN_13,False,True,1102,Computers,en,http://books.google.com/books/content?id=NZP6AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2012-08-24,MIT Press
sc2qDQAAQBAJ,python,Advanced Machine Learning with Python,N/A,John Hearty,"Solve challenging data science problems by mastering cutting-edge machine learning techniques in Python About This Book Resolve complex machine learning problems and explore deep learning Learn to use Python code for implementing a range of machine learning algorithms and techniques A practical tutorial that tackles real-world computing problems through a rigorous and effective approach Who This Book Is For This title is for Python developers and analysts or data scientists who are looking to add to their existing skills by accessing some of the most powerful recent trends in data science. If you've ever considered building your own image or text-tagging solution, or of entering a Kaggle contest for instance, this book is for you! Prior experience of Python and grounding in some of the core concepts of machine learning would be helpful. What You Will Learn Compete with top data scientists by gaining a practical and theoretical understanding of cutting-edge deep learning algorithms Apply your new found skills to solve real problems, through clearly-explained code for every technique and test Automate large sets of complex data and overcome time-consuming practical challenges Improve the accuracy of models and your existing input data using powerful feature engineering techniques Use multiple learning techniques together to improve the consistency of results Understand the hidden structure of datasets using a range of unsupervised techniques Gain insight into how the experts solve challenging data problems with an effective, iterative, and validation-focused approach Improve the effectiveness of your deep learning models further by using powerful ensembling techniques to strap multiple models together In Detail Designed to take you on a guided tour of the most relevant and powerful machine learning techniques in use today by top data scientists, this book is just what you need to push your Python algorithms to maximum potential. Clear examples and detailed code samples demonstrate deep learning techniques, semi-supervised learning, and more - all whilst working with real-world applications that include image, music, text, and financial data. The machine learning techniques covered in this book are at the forefront of commercial practice. They are applicable now for the first time in contexts such as image recognition, NLP and web search, computational creativity, and commercial/financial data modeling. Deep Learning algorithms and ensembles of models are in use by data scientists at top tech and digital companies, but the skills needed to apply them successfully, while in high demand, are still scarce. This book is designed to take the reader on a guided tour of the most relevant and powerful machine learning techniques. Clear descriptions of how techniques work and detailed code examples demonstrate deep learning techniques, semi-supervised learning and more, in real world applications. We will also learn about NumPy and Theano. By this end of this book, you will learn a set of advanced Machine Learning techniques and acquire a broad set of powerful skills in the area of feature selection & feature engineering. Style and approach This book focuses on clarifying the theory and code behind complex algorithms to make them practical, useable, and well-understood. Each topic is described with real-world applications, providing both broad contextual coverage and detailed guidance.",ISBN_13,True,True,278,Computers,en,http://books.google.com/books/content?id=sc2qDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,39.99,USD,31.19,USD,https://play.google.com/store/books/details?id=sc2qDQAAQBAJ&rdid=book-sc2qDQAAQBAJ&rdot=1&source=gbs_api,2016-07-28,Packt Publishing Ltd
